dv meter cubed,Work_isothermal jouls
0.1,-0.0
0.10202020202020202,-49.88566323915528
0.10404040404040404,-98.79311487339612
0.10606060606060606,-146.75998380517777
0.10808080808080808,-193.82176864247464
0.11010101010101012,-240.01199553106807
0.11212121212121212,-285.36236163493066
0.11414141414141415,-329.902865802849
0.11616161616161617,-373.66192777045165
0.1181818181818182,-416.66649708396164
0.12020202020202021,-458.94215279116963
0.12222222222222223,-500.5131948231357
0.12424242424242425,-541.4027278841162
0.12626262626262627,-581.632738574888
0.1282828282828283,-621.2241663940507
0.1303030303030303,-660.1969691913658
0.13232323232323234,-698.5701835853624
0.13434343434343435,-736.3619808030833
0.13636363636363638,-773.5897183520228
0.1383838383838384,-810.2699878920552
0.14040404040404042,-846.4186596378668
0.14242424242424245,-882.0509235893113
0.14444444444444446,-917.1813278578123
0.14646464646464646,-951.8238143308381
0.1484848484848485,-985.9917518932783
0.15050505050505053,-1019.6979674038367
0.15252525252525254,-1052.9547746060728
0.15454545454545457,-1085.7740011371675
0.15656565656565657,-1118.1670137826572
0.1585858585858586,-1150.1447421120922
0.16060606060606064,-1181.7177006185918
0.16262626262626265,-1212.8960094745285
0.16464646464646465,-1243.6894140058587
0.16666666666666669,-1274.1073029788677
0.16868686868686872,-1304.1587257851913
0.17070707070707072,-1333.85240860382
0.17272727272727273,-1363.1967696123018
0.17474747474747476,-1392.1999333134918
0.1767676767676768,-1420.869744038846
0.17878787878787883,-1449.2137786844166
0.18080808080808083,-1477.2393587312758
0.18282828282828284,-1504.9535615980856
0.18484848484848487,-1532.3632313698415
0.1868686868686869,-1559.47498894349
0.1888888888888889,-1586.2952416280345
0.19090909090909092,-1612.8301922339622
0.19292929292929295,-1639.085847684239
0.19494949494949498,-1665.0680271767847
0.196969696969697,-1690.782369926168
0.19898989898989902,-1716.2343425102936
0.20101010101010103,-1741.429245846013
0.20303030303030306,-1766.3722218159355
0.2050505050505051,-1791.0682595671544
0.2070707070707071,-1815.5222015011925
0.2090909090909091,-1839.7387489731557
0.21111111111111114,-1863.7224677168715
0.21313131313131317,-1887.4777930116682
0.21515151515151518,-1911.0090346054299
0.21717171717171718,-1934.320381407583
0.21919191919191922,-1957.415905964804
0.22121212121212125,-1980.2995687314105
0.22323232323232328,-2002.9752221456242
0.2252525252525253,-2025.4466145222218
0.2272727272727273,-2047.7173937713858
0.22929292929292933,-2069.791110953001
0.23131313131313136,-2091.6712236750514
0.23333333333333336,-2113.3610993442544
0.2353535353535354,-2134.8640182765744
0.2373737373737374,-2156.1831766747982
0.23939393939393944,-2177.321689479944
0.24141414141414144,-2198.282593102847
0.24343434343434348,-2219.0688480419335
0.24545454545454548,-2239.683341392814
0.24747474747474751,-2260.128889255013
0.24949494949494952,-2280.4082390408735
0.2515151515151516,-2300.5240716913463
0.2535353535353536,-2320.479003803142
0.2555555555555556,-2340.275589671481
0.2575757575757576,-2359.9163232524056
0.2595959595959596,-2379.403640048437
0.26161616161616164,-2398.7399189211533
0.26363636363636367,-2417.9274838340316
0.2656565656565657,-2436.9686055287852
0.26767676767676774,-2455.8655031381886
0.26969696969696977,-2474.6203457382726
0.27171717171717175,-2493.2352538426007
0.2737373737373738,-2511.7123008411954
0.2757575757575758,-2530.053514386566
0.2777777777777778,-2548.260877729143
0.2797979797979798,-2566.336331004339
0.28181818181818186,-2584.2817724732913
0.2838383838383839,-2602.0990597193068
0.2858585858585859,-2619.7900108018734
0.28787878787878796,-2637.356405370032
0.28989898989898993,-2654.7999857368245
0.29191919191919197,-2672.1224579164304
0.29393939393939394,-2689.3254926255368
0.295959595959596,-2706.4107262504194
0.297979797979798,-2723.3797617811206
0.30000000000000004,-2740.2341697140773
