Temperature (K),Heat Capacity(eV/K),internal energy(eV)
10.0,0.00027964861155798445,-0.005874510619507534
20.0,0.0003048006561021571,-0.00307802450392769
30.0,0.00032633211254575747,0.00022150250253560877
40.0,0.0003145266827533688,0.003448617746987459
50.0,0.0002998431131496559,0.006512036157602985
60.0,0.0002889206824294721,0.009445480009980578
70.0,0.0002815241369741539,0.012290449806192427
80.0,0.0002765101952958204,0.015075962749463656
90.0,0.0002730270226960485,0.017820653712108836
100.0,0.0002705370004295382,0.020536503203384626
110.0,0.0002687077368671353,0.0232313937206996
120.0,0.00026733045770583886,0.025910657940727333
130.0,0.0002662706118863767,0.028578002874816377
140.0,0.000265439074052054,0.031236070178454867
150.0,0.0002647752420243066,0.03388678435585746
160.0,0.0002642369079545404,0.036531575018941
170.0,0.00026379403475615957,0.039171522514948265
180.0,0.00026342483277055353,0.04180745571406419
190.0,0.0002631132244363954,0.044440019170359335
200.0,0.00026284716725761826,0.0470697202027921
210.0,0.00026261752021241593,0.0496969625155117
220.0,0.00026241726210258777,0.052322070607040416
230.0,0.0002622409427008421,0.054945307757563455
240.0,0.000262084290884701,0.05756688946105726
250.0,0.00026194393066703014,0.060186993575257475
260.0,0.00026181717258353385,0.06280576807439786
270.0,0.00026170185853189307,0.06542333702692815
280.0,0.0002615962451237408,0.06803980524503572
290.0,0.000261498915048719,0.07065526192940297
300.0,0.000261408709175015,0.0732697835460101
310.0,0.00026132467406938533,0.07588343611290327
320.0,0.0002612460211203427,0.07849627702739781
330.0,0.00026117209452110047,0.08110835653531012
340.0,0.0002611023460076467,0.08371971891781982
350.0,0.0002610363148107808,0.08633040345546306
360.0,0.00026097361166961265,0.08894044521403544
370.0,0.0002609139060282928,0.09154987568885531
380.0,0.0002608569157217744,0.09415872333460129
390.0,0.0002608023986439889,0.0967670140032908
400.0,0.00026075014595505763,0.09937477130748107
410.0,0.0002606999765788487,0.10198201692239195
420.0,0.00026065173269529396,0.10458877083905804
430.0,0.00026060527601714514,0.10719505157629783
440.0,0.000260560484753114,0.10980087635940095
450.0,0.0002605172510797615,0.11240626127136011
460.0,0.0002604754790638708,0.11501122138099618
470.0,0.0002604350828931956,0.11761577085263752
480.0,0.00026039598545537503,0.12021992303886009
490.0,0.0002603581171371161,0.12282369056174502
500.0,0.00026032141477116966,0.1254270853816024
510.0,0.0002602858207836789,0.12803011885716842
520.0,0.0002602512824950054,0.130632801797276
530.0,0.0002602177515313997,0.13323514450706853
540.0,0.0002601851832253033,0.13583715682790398
550.0,0.0002601535362487084,0.1384388481715746
560.0,0.000260122772192517,0.14104022755287815
570.0,0.00026009285524821737,0.14364130361542493
580.0,0.0002600637519947213,0.1462420846578425
590.0,0.0002600354310544617,0.14884257865531936
600.0,0.0002600078629342306,0.15144279327893173
610.0,0.00025998101984612274,0.15404273591400397
620.0,0.00025995487558532203,0.1566424136758542
630.0,0.000259929405336834,0.1592418334257104
640.0,0.0002599045855646409,0.16184100178259087
650.0,0.00025988039391791065,0.16443992513700323
660.0,0.00025985680916846833,0.16703860966094908
670.0,0.00025983381107153036,0.1696370613203726
680.0,0.00025981138029465003,0.17223528588237969
690.0,0.00025978949846034994,0.1748332889262656
700.0,0.00025976814790169557,0.17743107585158668
710.0,0.00025974731171913846,0.1800286518842995
720.0,0.00025972697382030673,0.18262602208596945
730.0,0.0002597071187096844,0.18522319136070564
740.0,0.00025968773147155844,0.18782016446016314
750.0,0.0002596687978666523,0.1904169459901368
760.0,0.0002596503041957021,0.1930135404174962
770.0,0.00025963223723692865,0.19560995207405085
780.0,0.00025961458431993377,0.19820618516223476
790.0,0.0002595973332290669,0.20080224376044953
800.0,0.0002595804722034245,0.2033981318268161
810.0,0.000259563989925482,0.20599385320451802
820.0,0.00025954787545288125,0.20858941162532574
830.0,0.0002595321182752741,0.21118481071357564
840.0,0.0002595167082233729,0.21378005399083122
850.0,0.0002595016355030566,0.2163751448780431
860.0,0.00025948689061010554,0.21897008670089235
870.0,0.00025947246441546665,0.2215648826902452
880.0,0.0002594583481425161,0.22415953598920169
890.0,0.0002594445332022133,0.22675404965309554
900.0,0.00025943101139205285,0.22934842665324595
910.0,0.0002594177747198501,0.2319426698809366
920.0,0.00025940481544921566,0.23453678214764295
930.0,0.00025939212617913653,0.2371307661899209
940.0,0.0002593796996848141,0.23972462467122568
950.0,0.0002593675289517705,0.2423183601836172
960.0,0.00025935560726111364,0.2449119752502611
970.0,0.0002593439280531129,0.24750547232883946
980.0,0.0002593324850181489,0.25009885381132335
990.0,0.00019384215148420813,0.25269212202920244
1000.0,0.00012835748118050772,0.2539756968410075
